Date,MLP,CNN,RNN,EW
2010-06-30,,,,
2010-07-31,0.09765304692883991,0.10060238571542302,0.09805116146143744,0.07785950050433832
2010-08-31,-0.08782058920099634,-0.010325692426041755,-0.01492332036345223,-0.027871423698263564
2010-09-30,0.06220730819946141,-0.11638575876807367,0.05167906678565859,0.08605565423802752
2010-10-31,0.05185903984684348,0.01934175196936394,0.0021443932651605824,0.03169698860531045
2010-11-30,-0.010730497367369418,0.02294753239643965,-0.02192641367493864,0.005078070516562061
2010-12-31,-0.07263171488043518,0.2680212701696063,0.03306652763933471,0.0620495507758283
2011-01-31,0.033071732244111196,0.02643722802208326,0.0066466321659390815,0.009155687824760284
2011-02-28,0.016785445233701957,0.03980393918398972,0.016099638490171042,0.03093207682929844
2011-03-31,0.08912161519556272,-0.2548661392746172,-0.0005915936593965387,0.015241644920567676
2011-04-30,0.04681718344755659,0.04244972395924407,0.046905547426371985,0.04107357397452582
2011-05-31,0.0091637211484914,-0.0005623574409088228,0.028212058789802708,-0.002946802236200141
2011-06-30,-0.046305091714404334,0.15996821388272853,-0.01587213247482322,-0.007480468481866787
2011-07-31,0.04360788142278582,0.025637525109292847,0.015859038952551918,-0.028897193538427457
2011-08-31,0.03914839558625971,0.03635235906324774,0.005928155261866186,-0.02475297616259553
2011-09-30,-0.24117820754098107,-0.17579635178096553,-0.08877300196346627,-0.06817727033290033
2011-10-31,0.15943992062120516,0.0356491862860453,0.07715284971005465,0.10844383770736399
2011-11-30,0.013072789984195143,0.04358446956480888,0.006886880423222941,0.013589375184724029
2011-12-31,0.1002421090182517,0.10484443782347563,0.07246804510327642,0.011770467574704124
2012-01-31,0.019486007155370855,0.02560873553945453,0.042399960415118176,0.038130038279190925
2012-02-29,0.0053069637989831,0.02827456637867476,0.025843663415946017,0.025765881863277107
2012-03-31,0.06574912184092319,-0.10259294829755283,0.008760356469336372,0.028207304746749706
2012-04-30,-0.01622664324137779,0.022774818940644703,0.018060802815472954,-0.0027580232066604093
2012-05-31,-0.10886753504923818,-0.04392333655997649,-0.03183735801695897,-0.041548677260207834
2012-06-30,0.10970190695352988,0.06975854244932478,0.05032020118855107,0.02277306544743829
2012-07-31,0.018412234771133962,0.03211427212614737,0.03387955331907566,0.01481634390824138
2012-08-31,-0.013299365186266288,0.00690615282136231,0.010676744893234336,0.013079777859989594
2012-09-30,-0.08777768709376599,0.028311725972484103,0.0015099487000587164,0.02222891984257358
2012-10-31,0.007356747601720004,0.021858345453974914,0.014876134819128417,-0.004588091186331855
2012-11-30,-0.026387070028931703,-0.017903367226852263,-0.014731768760522623,0.01147958099765134
2012-12-31,0.18734066436038033,0.2430086624482748,-0.04340954384227613,0.012293292573117176
2013-01-31,-0.0086709316276532,-0.015189322905600489,0.023168512579943457,0.053120261980609484
2013-02-28,0.00825113066545824,0.006524806350779455,0.020061932638579805,0.015927360153894732
2013-03-31,-0.2483118745288717,-0.27975221794410343,0.07387022074093075,0.032386634148087845
2013-04-30,0.0050903264746533505,0.01887200094923891,0.04981801003674691,0.018868779276205228
2013-05-31,0.012240929620958463,0.013416603733888532,-0.0400617406381466,0.01243589670358114
2013-06-30,0.06241490462467225,0.06503449274766426,-0.020745823363836347,-0.01311142706492896
2013-07-31,0.03097833103530312,0.040859644936108275,0.026914432352588058,0.051147370006012105
2013-08-31,-0.01609982757895234,-0.02154955358333699,-0.053172464318468005,-0.042742827948142215
2013-09-30,0.2418319604081156,-0.004454484592510521,0.04830677363239411,0.04092123383782997
2013-10-31,0.0016622761903368755,0.005566112848606197,0.030647588048334784,0.03804149275707047
2013-11-30,0.008933682569370438,0.01069417529165384,0.018194905641019776,0.012133791696029572
2013-12-31,-0.010589660226180464,0.35093137378440575,0.03282970432894072,0.015062912167614462
2014-01-31,0.02318424567680699,0.049034823682719386,0.0063497640186405135,-0.03431209826558901
2014-02-28,0.023990639127624114,0.027493306109582782,0.0438046416240403,0.0442237195142785
2014-03-31,-0.02486921378477769,-0.05891300950938816,0.0016510878134379237,0.006513532391301258
2014-04-30,0.008035521914087962,0.010799115073669707,0.01124994792538292,0.0179166707931675
2014-05-31,0.009412492236290593,0.022187191898060732,0.022698576364519996,0.016721934720238973
2014-06-30,0.037207972900323405,0.14348770572538339,0.01868222804502717,0.015087254003692818
2014-07-31,0.007629903758773704,0.007696054119342044,-0.0019978872050760987,-0.029218333803537222
2014-08-31,0.021487680447536572,0.023075712576817065,0.03686752893166423,0.04005431289657291
2014-09-30,0.03796762291608324,-0.38351476996856193,0.0075036292430814555,-0.013511788934523983
2014-10-31,0.022927032076844434,0.03360918846443606,0.06623842664036106,0.0406518156800717
2014-11-30,0.0072099433817354175,0.034087142929662084,0.029620811949823356,0.02745790290519534
2014-12-31,-0.0005650633389187032,0.4262270867823963,0.035986794872366445,0.0025280770686233467
2015-01-31,0.0113948798113499,0.04924182212900563,0.033451678570346255,-0.024895593373516656
2015-02-28,0.02866477344028029,-0.017595701794798746,0.02002891087126013,0.047878335493900526
2015-03-31,0.006961404430271267,-0.1240449275425024,0.009750645798393354,-0.005068691162881223
2015-04-30,-0.018860288585468066,-0.023039864593587867,-0.05522804037049722,-0.009430175613829417
2015-05-31,0.03648009870161406,0.03143876813682578,0.03363270681231856,0.010389616744300945
2015-06-30,0.02760739480795804,0.14955672871866876,-0.05029998277867198,-0.022337164303901313
2015-07-31,0.017771181073157116,0.0103990040116968,0.032764044277151516,0.01532113415655778
2015-08-31,-0.01529082391425407,-0.007617420122200014,-0.02138046509321756,-0.04676937022699079
