,MLP,CNN,RNN,EW
totalReturn,6.876781839954544,8.34371726671353,6.082404188004541,4.462874679462967
annualReturn,0.19815307077152555,0.2162112709491577,0.18704828029821097,0.1603570393482967
sharpeRatio,1.8697216758216864,3.0446848476382637,1.4721483688019248,1.2882340792205942
volatility,0.10480902509581876,0.06707820079591516,0.12785126664501045,0.12743997668587598
maxDrawdown,-0.1293251189390071,-0.07285069422736667,-0.21931687639429165,-0.19865865274401284
