,a2c,ppo
totalReturn,3.9187530332076825,3.7745876124958206
annualReturn,0.130367381369918,0.1277837585169488
sharpeRatio,0.9799762150808999,0.9734327254989628
volatility,0.13485330590676042,0.13317186966535954
maxDrawdown,-0.19499790100015668,-0.1987830754096227
