,MLP,EW,MVO
2010-07-31,-0.016423904653133158,0.07591134977828196,0.0
2010-08-31,-0.009160701530354382,-0.02821956505529867,0.0
2010-09-30,0.10932012757786724,0.08386399821609065,0.0
2010-10-31,0.049938902906951785,0.02919266614176636,0.0
2010-11-30,0.025655906816751294,0.006192357889106836,0.0
2010-12-31,0.0821740865183509,0.06012459299689092,0.0
2011-01-31,0.08352894752095619,0.01084651104643906,0.0
2011-02-28,0.003132021618795334,0.03199143569527296,0.0
2011-03-31,-0.007594626624052165,0.01447653040043932,0.0
2011-04-30,0.06224110188790694,0.0371255911321349,0.0
2011-05-31,0.0395975198135241,-0.0024102906555561027,0.0
2011-06-30,-0.011217584552821529,-0.00883500833597848,0.0
2011-07-31,-0.02600850964383554,-0.03230381470781396,0.0
2011-08-31,0.024636739164215958,-0.02380518006543611,0.0
2011-09-30,-0.009042611193811497,-0.06787872792725055,0.0
2011-10-31,0.11273887518103791,0.10958883455773132,0.0
2011-11-30,0.05394360296200641,0.014903069626636544,0.0
2011-12-31,0.145061062952327,0.013977534295055974,0.0
2012-01-31,0.0654981822119054,0.03967852595201713,0.0
2012-02-29,0.039633230518697084,0.026422300481599225,0.0
2012-03-31,0.053514330597559515,0.030342855607639906,0.0
2012-04-30,0.10683740871739336,0.0015763926594705145,0.0
2012-05-31,0.08137992668105097,-0.032421056318338276,0.0
2012-06-30,0.046332009380016366,0.028947596300400398,0.0
2012-07-31,0.026396351151773297,0.0110354082266239,0.017986489048710412
2012-08-31,0.019962428938220447,0.01564289729996303,-0.002305313489631746
2012-09-30,0.01837364756185433,0.022212544462852826,0.02463381518439583
2012-10-31,0.01507015256189512,0.001675872543525766,-0.004206604437907297
2012-11-30,0.04998381020743138,0.0200572099488123,0.005993587823610726
2012-12-31,-0.00783561163444369,0.008355839259027805,-0.0019381317269047166
2013-01-31,0.09079569677250858,0.0534517045728075,0.04326576003354356
2013-02-28,0.04932683594924908,0.020056413787502326,0.018507220916964474
2013-03-31,0.040231504703045484,0.0371079972483957,0.03278444470399325
2013-04-30,0.053676401430126336,0.01815977666409142,0.020199900452301703
2013-05-31,0.026993422259758308,0.009468388430576574,-0.01670984874601222
2013-06-30,0.011326272357746177,-0.012448084297234478,0.004021469457474351
2013-07-31,0.06118314650500383,0.055965843737893615,0.033314827929237296
2013-08-31,0.0037941288713882245,-0.041657145869922245,-0.027790282473513492
2013-09-30,0.043233335675847674,0.04007916844165754,0.023874676531275393
2013-10-31,0.12483198665796194,0.045876346071179526,0.03223474800570429
2013-11-30,0.10126167360189631,0.014821602099150242,0.011559042129650168
2013-12-31,0.04096514756832353,0.01707616617221499,0.013936939418220969
2014-01-31,-0.013164770424382006,-0.03352952910867241,0.0036252183536794134
2014-02-28,0.06493418344033053,0.039414954225166034,0.019731015181664386
2014-03-31,0.06590007808332377,0.008233802026197785,0.004439916034728438
2014-04-30,0.023014002782590588,0.018374513988164955,0.029079098844283544
2014-05-31,0.10577799666181517,0.01499187290209657,0.01669486859375409
2014-06-30,0.022858863606966904,0.015150189935024122,0.022397202671080856
2014-07-31,-0.014793877010005473,-0.032478072337798154,-0.0024592390426401867
2014-08-31,0.05654762977744894,0.043257786158319156,0.035798033573734976
2014-09-30,0.06308571542579758,-0.013115453046966532,0.0023123513104387596
2014-10-31,0.06701699761111561,0.042576012654367515,0.022284324950824996
2014-11-30,0.03613872519219793,0.03220353068438604,0.032988232622998825
2014-12-31,0.07231444883938298,0.0026266165737783022,0.004178270521661874
2015-01-31,0.0033151224807505034,-0.025936570699766973,-0.004000444148218543
2015-02-28,0.06074162644888727,0.04682430194618877,0.03421074037608303
2015-03-31,0.0047738343422708465,-0.005516255952643459,0.006497691559381469
2015-04-30,0.004826192325389152,-0.010261809012132795,-0.00937155441616459
2015-05-31,0.024549310133223846,0.012036592474572104,0.014118776959898174
2015-06-30,-0.024061957833806838,-0.02022486026283898,-0.016438962856185547
2015-07-31,0.05289535939476445,0.016969772090066133,0.027206678008408952
2015-08-31,0.0024938128916334257,-0.04789750789817863,-0.005570156638961606
2015-09-30,0.03617017992931335,-0.018677992002308824,-0.0031432400952091065
2015-10-31,0.0711117717683141,0.0811273426626182,0.02123298629202075
2015-11-30,0.10910212217062715,0.007946873490021268,0.012663178242990538
2015-12-31,0.044328009190225205,-0.011891935375932203,0.005786878340048063
2016-01-31,0.08449126777319207,-0.0205887694825146,-0.012940497038925634
2016-02-29,0.052776516818684484,0.02903165812132321,0.02766618004759841
2016-03-31,0.102964719892946,0.07407942801025047,0.0392459087598968
2016-04-30,0.07950903737532028,0.001486109763398895,0.003547722164701581
2016-05-31,0.04989310114704524,0.01726137890386657,0.014210774343150127
2016-06-30,0.035127142558734246,0.028828989185674243,0.035427454107507445
2016-07-31,0.09314139842671648,0.022762476398691018,-0.006709049666599534
2016-08-31,0.09545865408233702,-0.004071253011657461,0.011723727677689642
2016-09-30,0.009123363632839184,-0.005271893005239049,-0.0172009035998479
2016-10-31,0.005009786549524612,-0.03895801644584253,-0.025467166075324395
2016-11-30,0.06591345252963758,0.0419504248887496,0.02115743197339044
2016-12-31,0.04056228220374397,0.010936460170364681,0.01334799744790616
2017-01-31,0.041100372574943506,0.016838926655598448,0.011533689757021744
2017-02-28,0.031113768480001646,0.04091992367899411,0.027083497415971942
2017-03-31,0.009807408949442164,-0.003257859695465679,-0.0030886861329563788
2017-04-30,0.02639672868282391,0.010525628987632077,0.014356278310879938
2017-05-31,0.06740239029130318,0.009268795932770732,0.00718402173621866
