,date,daily_return
0,2021-12-31,0.0
1,2022-01-31,-0.04426640413703576
2,2022-02-28,-0.03011303567754116
3,2022-03-31,0.04042803255522245
4,2022-04-30,-0.031172284598476784
5,2022-05-31,-0.0005579033011077032
6,2022-06-30,-0.0636130065109174
7,2022-07-31,0.07337735789659747
8,2022-08-31,-0.01947509574912502
9,2022-09-30,-0.0914001007628735
10,2022-10-31,0.10061793314093428
11,2022-11-30,0.06925887720896708
12,2022-12-31,-0.03992587856079871
13,2023-01-31,0.037732972280040564
14,2023-02-28,-0.02131741193509226
15,2023-03-31,0.01021883596616262
16,2023-04-30,0.0210025317964193
17,2023-05-31,-0.05407146098037625
18,2023-06-30,0.08612532973874484
19,2023-07-31,0.024585553477971412
20,2023-08-31,-0.020626541007858823
21,2023-09-30,-0.057860330465927826
22,2023-10-31,-0.03170936279619627
23,2023-11-30,0.06598299235672504
24,2023-12-31,0.049898663138234725
